LineId,Month,Date,Time,Level,Component,PID,Content,EventTemplate,EventId
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>.<*>.<*>,4a396534
73,Jun,16,04:10:22,combo,su(pam_unix),25178,session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),1a7c474c
74,Jun,16,04:10:23,combo,su(pam_unix),25178,session closed for user cyrus,session closed for user cyrus,fe6f65a7
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],ALERT exited abnormally with [<*>],64042dcf
76,Jun,16,04:16:17,combo,su(pam_unix),25548,session opened for user news by (uid=0),session opened for user news by (uid=<*>),b258ebc6
77,Jun,16,04:16:18,combo,su(pam_unix),25548,session closed for user news,session closed for user news,70fd00b7
78,Jun,17,04:03:33,combo,su(pam_unix),27953,session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),1a7c474c
79,Jun,17,04:03:34,combo,su(pam_unix),27953,session closed for user cyrus,session closed for user cyrus,fe6f65a7
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],ALERT exited abnormally with [<*>],64042dcf
81,Jun,17,04:09:43,combo,su(pam_unix),29190,session opened for user news by (uid=0),session opened for user news by (uid=<*>),b258ebc6
82,Jun,17,04:09:45,combo,su(pam_unix),29190,session closed for user news,session closed for user news,70fd00b7
83,Jun,17,07:07:00,combo,ftpd,29504,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
84,Jun,17,07:07:00,combo,ftpd,29508,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
85,Jun,17,07:07:00,combo,ftpd,29507,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
86,Jun,17,07:07:00,combo,ftpd,29505,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
87,Jun,17,07:07:00,combo,ftpd,29506,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
88,Jun,17,07:07:00,combo,ftpd,29509,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
89,Jun,17,07:07:02,combo,ftpd,29510,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
90,Jun,17,07:07:04,combo,ftpd,29511,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,connection from <*> (<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,3fc3fd5b
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>  <*>=<*>,199eba27
92,Jun,17,20:29:26,combo,sshd(pam_unix),30631,session opened for user test by (uid=509),session opened for user test by (uid=<*>),195fa369
93,Jun,17,20:34:57,combo,sshd(pam_unix),30631,session closed for user test,session closed for user test,91b7ca30
94,Jun,17,20:55:06,combo,ftpd,30755,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
95,Jun,17,20:55:06,combo,ftpd,30754,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
96,Jun,17,20:55:06,combo,ftpd,30753,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
97,Jun,17,20:55:06,combo,ftpd,30756,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
98,Jun,17,20:55:06,combo,ftpd,30757,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
99,Jun,17,20:55:07,combo,ftpd,30758,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
100,Jun,17,20:55:07,combo,ftpd,30759,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
101,Jun,18,01:30:59,combo,sshd(pam_unix),31201,check pass; user unknown,check pass; user unknown,b780997e
102,Jun,18,01:30:59,combo,sshd(pam_unix),31201,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
103,Jun,18,01:30:59,combo,sshd(pam_unix),31199,check pass; user unknown,check pass; user unknown,b780997e
104,Jun,18,01:30:59,combo,sshd(pam_unix),31199,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
105,Jun,18,01:30:59,combo,sshd(pam_unix),31198,check pass; user unknown,check pass; user unknown,b780997e
106,Jun,18,01:30:59,combo,sshd(pam_unix),31198,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
107,Jun,18,01:30:59,combo,sshd(pam_unix),31202,check pass; user unknown,check pass; user unknown,b780997e
108,Jun,18,01:30:59,combo,sshd(pam_unix),31202,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
109,Jun,18,01:30:59,combo,sshd(pam_unix),31205,check pass; user unknown,check pass; user unknown,b780997e
110,Jun,18,01:30:59,combo,sshd(pam_unix),31205,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
111,Jun,18,01:30:59,combo,sshd(pam_unix),31200,check pass; user unknown,check pass; user unknown,b780997e
112,Jun,18,01:30:59,combo,sshd(pam_unix),31200,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
113,Jun,18,01:30:59,combo,sshd(pam_unix),31206,check pass; user unknown,check pass; user unknown,b780997e
114,Jun,18,01:30:59,combo,sshd(pam_unix),31206,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
115,Jun,18,01:30:59,combo,sshd(pam_unix),31204,check pass; user unknown,check pass; user unknown,b780997e
116,Jun,18,01:30:59,combo,sshd(pam_unix),31204,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
117,Jun,18,01:30:59,combo,sshd(pam_unix),31203,check pass; user unknown,check pass; user unknown,b780997e
118,Jun,18,01:30:59,combo,sshd(pam_unix),31203,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
119,Jun,18,01:30:59,combo,sshd(pam_unix),31207,check pass; user unknown,check pass; user unknown,b780997e
120,Jun,18,01:30:59,combo,sshd(pam_unix),31207,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>.<*>,5e222801
121,Jun,18,02:08:10,combo,ftpd,31272,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
122,Jun,18,02:08:10,combo,ftpd,31273,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
123,Jun,18,02:08:10,combo,ftpd,31274,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
124,Jun,18,02:08:10,combo,ftpd,31275,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
125,Jun,18,02:08:10,combo,ftpd,31276,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
126,Jun,18,02:08:10,combo,ftpd,31277,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,connection from <*> (<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>.<*>.<*>.<*>) <*> <*> <*> <*> <*>:<*>:<*> <*>,5975161b
