LineId,Time,Level,Content,EventTemplate,EventId
42,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6754 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
43,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6755 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
44,Sun Dec 04 04:53:40 2005,notice,jk2_init() Found child 6756 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
45,Sun Dec 04 04:53:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
46,Sun Dec 04 04:53:54 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
47,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6763 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
48,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6766 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
49,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6767 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
50,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6765 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
51,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
52,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
53,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
54,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
55,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
56,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
57,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
58,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
59,Sun Dec 04 04:54:20 2005,notice,jk2_init() Found child 6768 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
60,Sun Dec 04 04:54:20 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
61,Sun Dec 04 04:54:20 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
62,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8527 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
63,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8533 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
64,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
65,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
66,Sun Dec 04 04:56:59 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
67,Sun Dec 04 04:57:00 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
68,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8536 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
69,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8539 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
70,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
71,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
72,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
73,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
74,Sun Dec 04 04:57:49 2005,notice,jk2_init() Found child 8541 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
75,Sun Dec 04 04:58:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
76,Sun Dec 04 04:58:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
77,Sun Dec 04 04:58:45 2005,notice,jk2_init() Found child 8547 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
78,Sun Dec 04 04:58:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
79,Sun Dec 04 04:58:58 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
80,Sun Dec 04 04:59:28 2005,notice,jk2_init() Found child 8554 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
81,Sun Dec 04 04:59:27 2005,notice,jk2_init() Found child 8553 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
82,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
83,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
84,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
85,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
86,Sun Dec 04 05:00:03 2005,notice,jk2_init() Found child 8560 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
87,Sun Dec 04 05:00:09 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
88,Sun Dec 04 05:00:09 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
89,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8565 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
90,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8573 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
91,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
92,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
93,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
94,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
95,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8584 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
96,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8587 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
97,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8603 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
98,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8605 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
99,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8764 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
100,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8765 in scoreboard slot 11,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
101,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8763 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
102,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
103,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8743 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
104,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8738 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
105,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8766 in scoreboard slot 12,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
106,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
107,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
108,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
109,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
110,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
111,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
112,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
113,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
114,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
115,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
116,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
117,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
118,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
119,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
120,Sun Dec 04 05:11:51 2005,notice,jk2_init() Found child 25792 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
121,Sun Dec 04 05:12:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
122,Sun Dec 04 05:12:10 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
123,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25798 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
124,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25803 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
125,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
126,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
127,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
128,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
129,Sun Dec 04 05:12:30 2005,notice,jk2_init() Found child 25805 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
130,Sun Dec 04 05:12:30 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
131,Sun Dec 04 05:12:30 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
132,Sun Dec 04 05:15:09 2005,error,[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,client[<*> <*>] <*> <*> <*> <*> <*>: ,38bbf1a4
133,Sun Dec 04 05:15:13 2005,notice,jk2_init() Found child 1000 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
134,Sun Dec 04 05:15:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
135,Sun Dec 04 05:15:16 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
136,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32347 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
137,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32348 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
138,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
139,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
140,Sun Dec 04 06:01:30 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
141,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32352 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
142,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32353 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
143,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32354 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
144,Sun Dec 04 06:02:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
145,Sun Dec 04 06:02:02 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
146,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32359 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
147,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32360 in scoreboard slot 11,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
148,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32358 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
149,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32355 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
150,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
151,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
152,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
153,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
154,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
155,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
156,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
157,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
158,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32388 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
159,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32387 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
160,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32386 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
161,Sun Dec 04 06:06:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
162,Sun Dec 04 06:06:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
163,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
164,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
165,Sun Dec 04 06:06:20 2005,notice,jk2_init() Found child 32389 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
166,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32391 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
167,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32390 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
168,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32392 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
169,Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
170,Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
171,Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
172,Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
173,Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
174,Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
175,Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
176,Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
177,Sun Dec 04 06:11:11 2005,notice,jk2_init() Found child 32410 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
178,Sun Dec 04 06:11:11 2005,notice,jk2_init() Found child 32411 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
179,Sun Dec 04 06:12:31 2005,notice,jk2_init() Found child 32423 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
