LineId,Time,Component,Pid,Content,EventTemplate,EventId
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,5cdf7db4
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,onStandStepChanged <*>,93067dc4
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,onExtend:<*> <*> <*> <*>,959a0db3
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,5cdf7db4
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,onStandStepChanged <*>,93067dc4
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,REPORT : <*> <*> <*> <*>,5cdf7db4
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,onStandStepChanged <*>,93067dc4
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,REPORT : <*> <*> <*> <*>,5cdf7db4
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,onStandStepChanged <*>,93067dc4
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,REPORT : <*> <*> <*> <*>,5cdf7db4
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,onStandStepChanged <*>,93067dc4
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>,5cdf7db4
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,onStandStepChanged <*>,93067dc4
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,b891c816
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,93067dc4
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,isScreenOn true,03a21551
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on","screen status unknown,think screen on",ffb006b5
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,5cdf7db4
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,b080c338
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,dd5e8a75
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,flush <*> <*>,63254ea4
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,93067dc4
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,5cdf7db4
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*>,93067dc4
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,onExtend:<*> <*> <*> <*>,959a0db3
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,onStandStepChanged <*>,93067dc4
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>,5cdf7db4
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,onStandStepChanged <*>,93067dc4
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,REPORT : <*> <*> <*> <*>,5cdf7db4
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,onStandStepChanged <*>,93067dc4
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>,5cdf7db4
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,onStandStepChanged <*>,93067dc4
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>,5cdf7db4
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,onStandStepChanged <*>,93067dc4
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>,5cdf7db4
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,onStandStepChanged <*>,93067dc4
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,REPORT : <*> <*> <*> <*>,5cdf7db4
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,onStandStepChanged <*>,93067dc4
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,REPORT : <*> <*> <*> <*>,5cdf7db4
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,onStandStepChanged <*>,93067dc4
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>,5cdf7db4
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,onStandStepChanged <*>,93067dc4
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>,5cdf7db4
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,onStandStepChanged <*>,93067dc4
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>,5cdf7db4
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,onStandStepChanged <*>,93067dc4
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,REPORT : <*> <*> <*> <*>,5cdf7db4
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,onStandStepChanged <*>,93067dc4
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,REPORT : <*> <*> <*> <*>,5cdf7db4
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,onStandStepChanged <*>,93067dc4
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
