LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '0', '4']"
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['013', '007', '0218']"
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '6']"
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853300', '1 0 4']"
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7013##548365##8661##12836##27176966']"
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,NONE,NONE,[]
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '2', '5']"
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['014', '007', '0239']"
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '7']"
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853400', '1 0 4']"
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7014##548365##8661##12931##27177463']"
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,NONE,NONE,[]
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '4', '7']"
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['015', '008', '0261']"
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '8']"
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853500', '1 0 4']"
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,NONE,NONE,[]
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '9']"
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853500', '1 0 4']"
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7015##548365##8661##13026##27177962']"
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,NONE,NONE,[]
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '8', '9']"
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,NONE,NONE,[]
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",NONE,NONE,[]
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['017', '010', '0304']"
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,NONE,NONE,[]
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,b0190ab5,processHandleBroadcastAction <*>,"['a', 'c', 't', 'i', 'o', 'n', ':', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,NONE,NONE,[]
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7017##548365##8661##13121##27179330']"
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,NONE,NONE,[]
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '9']"
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '9', '8', '9']"
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['017', '010', '0304']"
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '9']"
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,fed117f9,onExtend:15140<*>000 0 0 <*>,"['38536', '4']"
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '0']"
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853600', '1 0 4']"
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7017##548365##8661##13216##27179417']"
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,NONE,NONE,[]
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '1', '1']"
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['018', '010', '0325']"
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '1']"
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853600', '1 0 4']"
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7018##548365##8661##13311##27179732']"
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,NONE,NONE,[]
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '3', '2']"
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['019', '011', '0346']"
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '2']"
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853700', '1 0 4']"
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7019##548365##8661##13406##27180468']"
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,NONE,NONE,[]
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '5', '4']"
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['020', '012', '0368']"
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '3']"
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853800', '1 0 4']"
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7020##548365##8661##13501##27180976']"
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,NONE,NONE,[]
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '7', '5']"
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['021', '012', '0389']"
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '4']"
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853800', '1 0 4']"
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7021##548365##8661##13596##27181971']"
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,NONE,NONE,[]
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '0', '9', '7']"
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['022', '013', '0411']"
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '5']"
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853900', '1 0 4']"
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7022##548365##8661##13691##27182468']"
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,NONE,NONE,[]
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '7', '1', '1', '8']"
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['023', '014', '0432']"
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,93067dc4,onStandStepChanged <*>,"['3', '5', '9', '6']"
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853900', '1 0 4']"
